Reference area,Source,Sex,Country of destination,Time,Outflow of nationals (thousands)
Finland,ADM-PR - Population Register,Female,Sweden,2021,0.9
Finland,ADM-PR - Population Register,Female,United Kingdom,2021,0.5
Finland,ADM-PR - Population Register,Female,United States,2021,0.4
Finland,ADM-PR - Population Register,Female,Other countries,2021,2.1
Georgia,ADM - Administrative Records of ministry of internal affairs,Total,Total,2012,90.6
Georgia,ADM - Administrative Records of ministry of internal affairs,Male,Total,2012,52.1
Georgia,ADM - Administrative Records of ministry of internal affairs,Female,Total,2012,38.5
Georgia,ADM - Administrative Records of ministry of internal affairs,Total,Total,2013,95.1
Georgia,ADM - Administrative Records of ministry of internal affairs,Male,Total,2013,39.5
Georgia,ADM - Administrative Records of ministry of internal affairs,Female,Total,2013,55.6
Georgia,ADM - Administrative Records of ministry of internal affairs,Total,Total,2014,88.7
Georgia,ADM - Administrative Records of ministry of internal affairs,Male,Total,2014,51.9
Georgia,ADM - Administrative Records of ministry of internal affairs,Female,Total,2014,36.8
Georgia,ADM - Administrative Records of ministry of internal affairs,Total,Total,2015,96.0
Georgia,ADM - Administrative Records of ministry of internal affairs,Male,Total,2015,55.8
Georgia,ADM - Administrative Records of ministry of internal affairs,Female,Total,2015,40.1
Georgia,ADM - Administrative Records of ministry of internal affairs,Total,Total,2016,98.3
Georgia,ADM - Administrative Records of ministry of internal affairs,Male,Total,2016,55.3
Georgia,ADM - Administrative Records of ministry of internal affairs,Female,Total,2016,43.0
Georgia,ADM - Administrative Records of ministry of internal affairs,Total,Total,2017,85.5
Georgia,ADM - Administrative Records of ministry of internal affairs,Male,Total,2017,47.8
Georgia,ADM - Administrative Records of ministry of internal affairs,Female,Total,2017,37.7
Guinea,PC - Recensement Général de la Population et de l'Habitation,Total,Total,2014,36.8
Guinea,PC - Recensement Général de la Population et de l'Habitation,Total,Côte d'Ivoire,2014,4.3
Guinea,PC - Recensement Général de la Population et de l'Habitation,Total,Gambia,2014,2.1
Guinea,PC - Recensement Général de la Population et de l'Habitation,Total,Guinea-Bissau,2014,2.0
Guinea,PC - Recensement Général de la Population et de l'Habitation,Total,Liberia,2014,3.5
Guinea,PC - Recensement Général de la Population et de l'Habitation,Total,Senegal,2014,13.4
Guinea,PC - Recensement Général de la Population et de l'Habitation,Total,Other countries,2014,11.4
Guinea,PC - Recensement Général de la Population et de l'Habitation,Male,Total,2014,27.9
Guinea,PC - Recensement Général de la Population et de l'Habitation,Male,Côte d'Ivoire,2014,3.1
Guinea,PC - Recensement Général de la Population et de l'Habitation,Male,Gambia,2014,1.5
Guinea,PC - Recensement Général de la Population et de l'Habitation,Male,Guinea-Bissau,2014,1.6
Guinea,PC - Recensement Général de la Population et de l'Habitation,Male,Liberia,2014,2.4
Guinea,PC - Recensement Général de la Population et de l'Habitation,Male,Senegal,2014,10.7
Guinea,PC - Recensement Général de la Population et de l'Habitation,Male,Other countries,2014,8.5
Guinea,PC - Recensement Général de la Population et de l'Habitation,Female,Total,2014,8.9
Guinea,PC - Recensement Général de la Population et de l'Habitation,Female,Côte d'Ivoire,2014,1.3
Guinea,PC - Recensement Général de la Population et de l'Habitation,Female,Gambia,2014,0.5
Guinea,PC - Recensement Général de la Population et de l'Habitation,Female,Guinea-Bissau,2014,0.4
Guinea,PC - Recensement Général de la Population et de l'Habitation,Female,Liberia,2014,1.1
Guinea,PC - Recensement Général de la Population et de l'Habitation,Female,Senegal,2014,2.7
Guinea,PC - Recensement Général de la Population et de l'Habitation,Female,Other countries,2014,2.9
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Total,2017,27.0
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Total,2017,14.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Total,2017,12.4
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Total,2018,23.8
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Austria,2018,7.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Germany,2018,7.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Netherlands,2018,0.9
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Switzerland,2018,1.1
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,United Kingdom,2018,3.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Other countries,2018,3.8
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Total,2018,12.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Austria,2018,3.7
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Germany,2018,4.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Netherlands,2018,0.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Switzerland,2018,0.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,United Kingdom,2018,1.7
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Other countries,2018,1.9
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Total,2018,11.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Austria,2018,3.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Germany,2018,3.1
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Netherlands,2018,0.4
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Switzerland,2018,0.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,United Kingdom,2018,1.8
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Other countries,2018,1.9
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Total,2020,19.3
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Austria,2020,7.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Germany,2020,5.3
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Netherlands,2020,0.9
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Switzerland,2020,1.0
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,United Kingdom,2020,1.9
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Other countries,2020,3.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Total,2020,10.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Austria,2020,3.8
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Germany,2020,3.0
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Netherlands,2020,0.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Switzerland,2020,0.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,United Kingdom,2020,0.8
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Other countries,2020,1.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Total,2020,9.1
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Austria,2020,3.4
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Germany,2020,2.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Netherlands,2020,0.4
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Switzerland,2020,0.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,United Kingdom,2020,1.0
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Other countries,2020,1.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Total,2021,21.7
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Austria,2021,8.0
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Germany,2021,6.4
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Netherlands,2021,1.2
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Switzerland,2021,1.1
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,United Kingdom,2021,1.4
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Total,Other countries,2021,3.7
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Total,2021,12.1
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Austria,2021,4.7
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Germany,2021,3.8
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Netherlands,2021,0.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Switzerland,2021,0.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,United Kingdom,2021,0.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Male,Other countries,2021,1.9
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Total,2021,9.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Austria,2021,3.3
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Germany,2021,2.6
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Netherlands,2021,0.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Switzerland,2021,0.5
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,United Kingdom,2021,0.8
Hungary,"OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior",Female,Other countries,2021,1.8
India,"Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs",Total,Total,2010,641.4
India,"Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs",Total,Total,2011,626.6
India,"Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs",Total,Total,2012,747.0
India,"Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs",Total,Total,2013,816.7
India,"Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs",Total,Total,2014,804.9
India,"Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs",Total,Total,2015,781.0
India,"Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs",Total,Total,2016,506.0
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Total,2016,236.0
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,"Hong Kong, China",2016,14.4
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Malaysia,2016,87.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Saudi Arabia,2016,13.5
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,"Taiwan, China",2016,77.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,United Arab Emirates,2016,2.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Other countries,2016,40.8
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Total,2016,89.9
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,"Hong Kong, China",2016,0.0
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Malaysia,2016,48.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Saudi Arabia,2016,7.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,"Taiwan, China",2016,18.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,United Arab Emirates,2016,0.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Other countries,2016,15.2
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Total,2016,146.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,"Hong Kong, China",2016,14.4
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Malaysia,2016,39.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Saudi Arabia,2016,5.9
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,"Taiwan, China",2016,58.5
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,United Arab Emirates,2016,2.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Other countries,2016,25.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Total,2017,264.2
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,"Hong Kong, China",2017,69.2
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Malaysia,2017,89.0
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Saudi Arabia,2017,6.5
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,"Taiwan, China",2017,62.8
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,United Arab Emirates,2017,1.7
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Other countries,2017,35.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Total,2017,79.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,"Hong Kong, China",2017,0.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Malaysia,2017,44.4
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Saudi Arabia,2017,4.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,"Taiwan, China",2017,16.5
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,United Arab Emirates,2017,0.5
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Other countries,2017,13.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Total,2017,185.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,"Hong Kong, China",2017,69.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Malaysia,2017,44.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Saudi Arabia,2017,2.4
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,"Taiwan, China",2017,46.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,United Arab Emirates,2017,1.2
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Other countries,2017,21.5
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Total,2018,284.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,"Hong Kong, China",2018,73.9
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Malaysia,2018,90.7
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Saudi Arabia,2018,5.9
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,"Taiwan, China",2018,72.4
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,United Arab Emirates,2018,0.7
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Total,Other countries,2018,40.7
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Total,2018,85.0
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,"Hong Kong, China",2018,0.1
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Malaysia,2018,45.9
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Saudi Arabia,2018,4.7
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,"Taiwan, China",2018,18.6
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,United Arab Emirates,2018,0.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Male,Other countries,2018,15.2
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Total,2018,199.3
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,"Hong Kong, China",2018,73.8
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Malaysia,2018,44.7
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Saudi Arabia,2018,1.2
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,"Taiwan, China",2018,53.8
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,United Arab Emirates,2018,0.4
Indonesia,ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas,Female,Other countries,2018,25.5
Italy,ADM-PR - Population Register,Total,Total,2014,88.9
Italy,ADM-PR - Population Register,Total,France,2014,8.4
Italy,ADM-PR - Population Register,Total,Germany,2014,14.4
Italy,ADM-PR - Population Register,Total,Spain,2014,4.1
Italy,ADM-PR - Population Register,Total,Switzerland,2014,10.4
Italy,ADM-PR - Population Register,Total,United Kingdom,2014,13.5
Italy,ADM-PR - Population Register,Total,Other countries,2014,38.0
Italy,ADM-PR - Population Register,Male,Total,2014,50.9
Italy,ADM-PR - Population Register,Male,France,2014,4.5
Italy,ADM-PR - Population Register,Male,Germany,2014,8.2
Italy,ADM-PR - Population Register,Male,Spain,2014,2.3
Italy,ADM-PR - Population Register,Male,Switzerland,2014,6.0
Italy,ADM-PR - Population Register,Male,United Kingdom,2014,7.5
Italy,ADM-PR - Population Register,Male,Other countries,2014,22.3
Italy,ADM-PR - Population Register,Female,Total,2014,37.9
Italy,ADM-PR - Population Register,Female,France,2014,3.9
Italy,ADM-PR - Population Register,Female,Germany,2014,6.2
Italy,ADM-PR - Population Register,Female,Spain,2014,1.8
Italy,ADM-PR - Population Register,Female,Switzerland,2014,4.3
Italy,ADM-PR - Population Register,Female,United Kingdom,2014,6.0
Italy,ADM-PR - Population Register,Female,Other countries,2014,15.7
Italy,ADM-PR - Population Register,Total,Total,2015,102.3
Italy,ADM-PR - Population Register,Total,France,2015,10.9
Italy,ADM-PR - Population Register,Total,Germany,2015,17.3
Italy,ADM-PR - Population Register,Total,Spain,2015,4.3
Italy,ADM-PR - Population Register,Total,Switzerland,2015,11.5
Italy,ADM-PR - Population Register,Total,United Kingdom,2015,17.5
Italy,ADM-PR - Population Register,Total,Other countries,2015,40.8
Italy,ADM-PR - Population Register,Male,Total,2015,58.4
Italy,ADM-PR - Population Register,Male,France,2015,5.7
Italy,ADM-PR - Population Register,Male,Germany,2015,9.7
Italy,ADM-PR - Population Register,Male,Spain,2015,2.4
Italy,ADM-PR - Population Register,Male,Switzerland,2015,6.7
Italy,ADM-PR - Population Register,Male,United Kingdom,2015,9.7
Italy,ADM-PR - Population Register,Male,Other countries,2015,24.0
Italy,ADM-PR - Population Register,Female,Total,2015,43.9
Italy,ADM-PR - Population Register,Female,France,2015,5.1
Italy,ADM-PR - Population Register,Female,Germany,2015,7.6
Italy,ADM-PR - Population Register,Female,Spain,2015,1.9
Italy,ADM-PR - Population Register,Female,Switzerland,2015,4.8
Italy,ADM-PR - Population Register,Female,United Kingdom,2015,7.8
Italy,ADM-PR - Population Register,Female,Other countries,2015,16.8
Italy,ADM-PR - Population Register,Total,Total,2016,114.5
Italy,ADM-PR - Population Register,Total,France,2016,10.8
Italy,ADM-PR - Population Register,Total,Germany,2016,18.9
Italy,ADM-PR - Population Register,Total,Spain,2016,5.5
Italy,ADM-PR - Population Register,Total,Switzerland,2016,11.4
Italy,ADM-PR - Population Register,Total,United Kingdom,2016,24.8
Italy,ADM-PR - Population Register,Total,Other countries,2016,43.0
Italy,ADM-PR - Population Register,Male,Total,2016,64.3
Italy,ADM-PR - Population Register,Male,France,2016,5.7
Italy,ADM-PR - Population Register,Male,Germany,2016,10.4
Italy,ADM-PR - Population Register,Male,Spain,2016,3.1
Italy,ADM-PR - Population Register,Male,Switzerland,2016,6.5
Italy,ADM-PR - Population Register,Male,United Kingdom,2016,13.3
Italy,ADM-PR - Population Register,Male,Other countries,2016,25.2
Italy,ADM-PR - Population Register,Female,Total,2016,50.2
Italy,ADM-PR - Population Register,Female,France,2016,5.1
Italy,ADM-PR - Population Register,Female,Germany,2016,8.5
Italy,ADM-PR - Population Register,Female,Spain,2016,2.5
Italy,ADM-PR - Population Register,Female,Switzerland,2016,4.9
Italy,ADM-PR - Population Register,Female,United Kingdom,2016,11.5
Italy,ADM-PR - Population Register,Female,Other countries,2016,17.9
Italy,ADM-PR - Population Register,Total,Total,2017,114.6
Italy,ADM-PR - Population Register,Total,France,2017,12.4
Italy,ADM-PR - Population Register,Total,Germany,2017,18.5
Italy,ADM-PR - Population Register,Total,Spain,2017,7.2
Italy,ADM-PR - Population Register,Total,Switzerland,2017,10.5
Italy,ADM-PR - Population Register,Total,United Kingdom,2017,20.6
Italy,ADM-PR - Population Register,Total,Other countries,2017,45.4
Italy,ADM-PR - Population Register,Male,Total,2017,63.9
Italy,ADM-PR - Population Register,Male,France,2017,6.6
Italy,ADM-PR - Population Register,Male,Germany,2017,10.3
Italy,ADM-PR - Population Register,Male,Spain,2017,3.8
Italy,ADM-PR - Population Register,Male,Switzerland,2017,6.0
Italy,ADM-PR - Population Register,Male,United Kingdom,2017,10.9
Italy,ADM-PR - Population Register,Male,Other countries,2017,26.3
Italy,ADM-PR - Population Register,Female,Total,2017,50.7
Italy,ADM-PR - Population Register,Female,France,2017,5.9
Italy,ADM-PR - Population Register,Female,Germany,2017,8.3
Italy,ADM-PR - Population Register,Female,Spain,2017,3.3
Italy,ADM-PR - Population Register,Female,Switzerland,2017,4.5
Italy,ADM-PR - Population Register,Female,United Kingdom,2017,9.7
Italy,ADM-PR - Population Register,Female,Other countries,2017,19.1
Italy,ADM-PR - Population Register,Total,Total,2018,116.7
Italy,ADM-PR - Population Register,Total,France,2018,13.5
Italy,ADM-PR - Population Register,Total,Germany,2018,18.1
Italy,ADM-PR - Population Register,Total,Spain,2018,7.2
Italy,ADM-PR - Population Register,Total,Switzerland,2018,9.8
Italy,ADM-PR - Population Register,Total,United Kingdom,2018,20.5
Italy,ADM-PR - Population Register,Total,Other countries,2018,47.6
Italy,ADM-PR - Population Register,Male,Total,2018,65.3
Italy,ADM-PR - Population Register,Male,France,2018,7.2
Italy,ADM-PR - Population Register,Male,Germany,2018,10.1
Italy,ADM-PR - Population Register,Male,Spain,2018,3.9
Italy,ADM-PR - Population Register,Male,Switzerland,2018,5.7
Italy,ADM-PR - Population Register,Male,United Kingdom,2018,11.0
Italy,ADM-PR - Population Register,Male,Other countries,2018,27.4
Italy,ADM-PR - Population Register,Female,Total,2018,51.5
Italy,ADM-PR - Population Register,Female,France,2018,6.4
Italy,ADM-PR - Population Register,Female,Germany,2018,7.9
Italy,ADM-PR - Population Register,Female,Spain,2018,3.3
Italy,ADM-PR - Population Register,Female,Switzerland,2018,4.1
Italy,ADM-PR - Population Register,Female,United Kingdom,2018,9.6
Italy,ADM-PR - Population Register,Female,Other countries,2018,20.2
Italy,ADM-PR - Population Register,Total,Total,2019,122.0
Italy,ADM-PR - Population Register,Total,Brazil,2019,8.1
Italy,ADM-PR - Population Register,Total,France,2019,12.8
Italy,ADM-PR - Population Register,Total,Germany,2019,18.8
Italy,ADM-PR - Population Register,Total,Switzerland,2019,10.2
Italy,ADM-PR - Population Register,Total,United Kingdom,2019,30.6
Italy,ADM-PR - Population Register,Total,Other countries,2019,41.5
Italy,ADM-PR - Population Register,Male,Total,2019,66.8
Italy,ADM-PR - Population Register,Male,Brazil,2019,4.4
Italy,ADM-PR - Population Register,Male,France,2019,6.6
Italy,ADM-PR - Population Register,Male,Germany,2019,10.4
Italy,ADM-PR - Population Register,Male,Switzerland,2019,5.9
Italy,ADM-PR - Population Register,Male,United Kingdom,2019,16.0
Italy,ADM-PR - Population Register,Male,Other countries,2019,23.5
Italy,ADM-PR - Population Register,Female,Total,2019,55.2
Italy,ADM-PR - Population Register,Female,Brazil,2019,3.7
Italy,ADM-PR - Population Register,Female,France,2019,6.3
Italy,ADM-PR - Population Register,Female,Germany,2019,8.4
Italy,ADM-PR - Population Register,Female,Switzerland,2019,4.2
Italy,ADM-PR - Population Register,Female,United Kingdom,2019,14.6
Italy,ADM-PR - Population Register,Female,Other countries,2019,18.0
Italy,ADM-PR - Population Register,Total,Total,2020,121.0
Italy,ADM-PR - Population Register,Total,Brazil,2020,5.6
Italy,ADM-PR - Population Register,Total,France,2020,13.0
Italy,ADM-PR - Population Register,Total,Germany,2020,16.7
Italy,ADM-PR - Population Register,Total,Switzerland,2020,9.8
Italy,ADM-PR - Population Register,Total,United Kingdom,2020,36.1
Italy,ADM-PR - Population Register,Total,Other countries,2020,39.7
Italy,ADM-PR - Population Register,Male,Total,2020,65.5
Italy,ADM-PR - Population Register,Male,Brazil,2020,3.0
